Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,25,Black,Sapphire,Date,46 hours,"8,700"
Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,50 meters,42,11.15,20,Blue,Sapphire,Date,60 hours,"7,900"
Sinn,U50,German Submarine Steel,Silicone,Automatic,500 meters,45,14.7,22,Black,Sapphire,None,38 hours,"3,350"
Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36,12.5,20,Black,Sapphire,Date,70 hours,"8,000"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.5,20,Black,Sapphire,Chronograph,60 hours,"6,500"
Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30 meters,33,9.96,16,Silver,Sapphire,Date,42 hours,"4,500"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,43,10.8,20,Blue,Sapphire,None,N/A,"1,800"
Breitling,Superocean,Stainless Steel,Rubber,Automatic,2000 meters,42,13.32,20,Blue,Sapphire,Date,38 hours,"3,600"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,Date,60 hours,"8,900"
Panerai,Luminor Marina,Titanium,Leather,Manual,300 meters,44,13.05,24,Black,Sapphire,None,56 hours,"5,700"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,Date,45 hours,"34,000"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39,7.58,20,Silver,Sapphire,None,43 hours,"6,800"
Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,100 meters,41,9.7,22,Black,Sapphire,Date,40 hours,"2,500"
Montblanc,1858,Bronze,Leather,Automatic,100 meters,44,12.8,22,Black,Sapphire,None,42 hours,"5,300"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,Date,45 hours,"34,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,Date,60 hours,"22,000"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41,11,21,Blue,Sapphire,Date,60 hours,"17,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,13.1,22,Silver,Sapphire,Date,60 hours,"8,500"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.5,14.5,22,Black,Sapphire,Chronograph,72 hours,"15,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.4,19,White,Sapphire,Chronograph,50 hours,"6,000"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42,12.67,20,Black,Sapphire,Chronograph,48 hours,"5,000"
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44,13.05,24,Black,Sapphire,None,72 hours,"8,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,Date,54 hours,"9,000"
Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45,15.5,23,Black,Sapphire,None,120 hours,"12,500"
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,30 meters,40,5.5,21,Black,Sapphire,None,55 hours,"10,000"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,Date,70 hours,"3,800"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,13.05,22,Black,Sapphire,Date,72 hours,"8,900"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,25,Black,Sapphire,Chronograph,72 hours,"16,800"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.9,12.3,20,Silver,Sapphire,Date,44 hours,"6,900"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"24,500"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11,21,Silver,Sapphire,Date,40 hours,"19,500"
Breguet,Classique,18k White Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,Date,55 hours,"24,500"
Piaget,Altiplano,18k Rose Gold,Leather,Manual,30 meters,38,6,20,White,Sapphire,None,43 hours,"20,800"
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"13,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41,10.88,22,Black,Sapphire,Date,46 hours,"9,700"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42,14.05,22,Silver,Sapphire,Chronograph,50 hours,"7,400"
Breitling,Superocean Heritage II,Stainless Steel,Rubber,Automatic,200 meters,44,14.2,22,Black,Sapphire,Date,70 hours,"4,300"
Cartier,Santos de Cartier,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20,Silver,Sapphire,Date,42 hours,"6,500"
Omega,Speedmaster,Stainless Steel,Leather,Manual,50 meters,42,13.7,20,Black,Hesalite,Chronograph,48 hours,"5,500"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.4,20,Black,Sapphire,"GMT, Date",70 hours,"9,100"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40,8.8,20,Silver,Sapphire,Date,70 hours,"7,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"20,900"
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40,10.8,20,Black,Sapphire,Date,42 hours,"4,200"
Patek Philippe,Calatrava,18k White Gold,Leather,Automatic,30 meters,39,8.6,20,Silver,Sapphire,Date,48 hours,"22,000"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,32,9.5,15,Blue,Sapphire,None,N/A,"1,700"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,Date,70 hours,"3,600"
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36,12.5,20,Silver,Sapphire,Date,70 hours,"8,900"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.5,20,Black,Sapphire,Chronograph,60 hours,"6,800"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,43,10.8,21,Blue,Sapphire,Date,N/A,"2,600"
Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200 meters,42,14.35,20,Black,Sapphire,Date,38 hours,"4,400"
Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33,9.96,18,Silver,Sapphire,Date,42 hours,"13,000"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39,8.5,20,Silver,Sapphire,Date,70 hours,"7,500"
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200 meters,41,14.5,22,Black,Sapphire,GMT,70 hours,"4,500"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.45,19,White,Sapphire,Chronograph,50 hours,"6,900"
Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300 meters,41,12.65,20,Black,Sapphire,Date,64 hours,"1,800"
Oris,Divers Sixty-Five,Stainless Steel,Leather,Automatic,100 meters,40,12.9,20,Blue,Sapphire,Date,38 hours,"1,500"
Hamilton,Khaki Field,Stainless Steel,NATO Strap,Automatic,100 meters,38,9.7,20,Black,Sapphire,None,80 hours,595
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,42,13.2,22,Black,Sapphire,Date,72 hours,"7,500"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41,15.3,22,Black,Sapphire,Date,72 hours,"5,400"
Patek Philippe,Calatrava,White Gold,Leather,Manual,30 meters,37,7.7,20,White,Sapphire,None,44 hours,"25,000"
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44,14.5,25,Black,Sapphire,Chronograph,72 hours,"15,000"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,38,12.6,20,Silver,Sapphire,Chronograph,50 hours,"7,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"25,000"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50 meters,41,11,22,Blue,Sapphire,Date,40 hours,"18,000"
Breguet,Classique,White Gold,Leather,Automatic,30 meters,39,8.65,21,Silver,Sapphire,None,55 hours,"20,000"
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42,12.8,22,Blue,Sapphire,Date,60 hours,"8,500"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,None,120 hours,"10,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Black,Sapphire,Date,54 hours,"9,000"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21,Blue,Sapphire,Date,55 hours,"51,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"22,000"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,46.2,15,20,Black,Sapphire,Chronograph,68 hours,"7,500"
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"14,500"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Silver,Sapphire,Date,60 hours,"21,500"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,Black,Sapphire,Chronograph,50 hours,"7,500"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,22,Black,Sapphire,Chronograph,72 hours,"15,000"
Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,39,10.2,22,Silver,Sapphire,None,40 hours,"18,000"
Chopard,Happy Sport,Stainless Steel,Leather,Quartz,30 meters,30,10.5,17,White,Sapphire,None,N/A,"5,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41,10.88,22,Blue,Sapphire,Date,54 hours,"11,500"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,15.65,24,Black,Sapphire,Date,72 hours,"8,000"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,14.75,22,Black,Sapphire,None,70 hours,"3,800"
Panerai,Luminor,Stainless Steel,Leather,Manual,100 meters,44,13.05,24,Black,Sapphire,None,56 hours,"6,400"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Silver,Sapphire,Date,60 hours,"8,900"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"20,400"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41,11,21,Blue,Sapphire,Date,60 hours,"22,000"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21,Blue,Sapphire,Date,45 hours,"62,500"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"14,900"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42,12.67,20,Silver,Sapphire,Chronograph,42 hours,"5,900"
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,40,9.35,20,Silver,Sapphire,Date,64 hours,"1,500"
Montblanc,Heritage,Stainless Steel,Leather,Automatic,50 meters,40,9.85,20,Black,Sapphire,Date,38 hours,"2,700"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,Black,Sapphire,Chronograph,50 hours,"6,500"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41,11.8,21,Blue,Sapphire,Date,70 hours,"7,800"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.75,20,Black,Sapphire,"Chronograph, Date",48 hours,"5,300"
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39,14.5,22,Blue,Sapphire,Chronograph,42 hours,"5,900"
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,44,14.21,22,Blue,Sapphire,Date,38 hours,"3,800"
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42,13,22,Silver,Sapphire,Date,42 hours,"7,500"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39,7.5,20,White,Sapphire,Date,38 hours,"6,200"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,"GMT, Date",70 hours,"9,500"
Omega,Aqua Terra,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,13,20,Silver,Sapphire,Date,60 hours,"4,700"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41,12.5,20,Black,Sapphire,Date,38 hours,"2,700"
Breitling,Avenger II,Stainless Steel,Rubber,Automatic,300 meters,43,16.5,22,Black,Sapphire,"Chronograph, Date",42 hours,"4,600"
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,35.1,8.83,22,Silver,Sapphire,Date,42 hours,"5,300"
Rolex,Daytona,Yellow Gold,Leather,Automatic,100 meters,40,12.4,20,Ivory,Sapphire,Chronograph,72 hours,"39,500"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Sapphire,Chronograph,48 hours,"5,400"
TAG Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39,14,22,Blue,Sapphire,Chronograph,42 hours,"6,550"
Cartier,Santos-Dumont,Stainless Steel,Leather,Quartz,30 meters,43.5,7.3,23,Silver,Sapphire,None,N/A,"5,300"
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42,13.32,20,Blue,Sapphire,Date,38 hours,"3,850"
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,39,8.25,20,Silver,Sapphire,None,48 hours,"25,800"
Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200 meters,41,11.9,22,Black,Sapphire,Date,70 hours,"4,100"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"12,900"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,None,60 hours,"6,900"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41,11,22,Blue,Sapphire,Date,40 hours,"19,800"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36,12,20,Black,Sapphire,Date,70 hours,"8,100"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36,12.5,20,Black,Sapphire,Date,70 hours,"6,500"
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,Chronograph,48 hours,"5,400"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,Date,55 hours,"44,000"
Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33,9.96,18,Silver,Sapphire,Date,42 hours,"13,200"
Hublot,Classic Fusion,18k King Gold,Rubber,Automatic,50 meters,42,10.5,22,Blue,Sapphire,None,42 hours,"20,200"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"24,800"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41,12.8,22,Black,Sapphire,Date,42 hours,"4,800"
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200 meters,41,14.5,22,Black,Sapphire,GMT,70 hours,"4,000"
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,40,6.95,20,White,Sapphire,None,65 hours,"22,500"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"12,500"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42,12.67,22,Black,Sapphire,Chronograph,42 hours,"6,900"
Panerai,Luminor,Titanium,Leather,Automatic,100 meters,44,15.65,24,Black,Sapphire,None,72 hours,"7,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,"Date, Stopwatch",60 hours,"25,000"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,"Date, Moon Phase",45 hours,"70,000"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41,10.8,20,Black,Sapphire,"Date, Stopwatch",42 hours,"5,500"
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"12,000"
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,44,14.4,22,Blue,Sapphire,"Date, Power Reserve",60 hours,"7,500"
Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,38,8.25,20,Silver,Sapphire,None,45 hours,"20,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,22,Black,Sapphire,None,46 hours,"8,500"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42,14.1,24,Black,Sapphire,"Date, Chronograph",42 hours,"12,000"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42,14.05,20,Silver,Sapphire,"Date, Chronograph",50 hours,"6,000"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41,11,22,Blue,Sapphire,Date,40 hours,"12,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,Date,60 hours,"22,000"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42,10.5,22,Blue,Sapphire,Date,42 hours,"8,500"
Panerai,Luminor Marina,Stainless Steel,Leather,Manual,300 meters,44,15.65,24,Black,Sapphire,None,56 hours,"7,200"
Breguet,Classique,18K White Gold,Leather,Manual,30 meters,40,6.1,20,Silver,Sapphire,None,65 hours,"16,000"
Chopard,Happy Sport,Stainless Steel,Stainless Steel,Quartz,30 meters,30,7.2,15,Silver,Sapphire,Date,N/A,"5,800"
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42.2,12.6,22,Blue,Sapphire,Date,60 hours,"8,900"
IWC,Portugieser Chronograph,Stainless Steel,Leather,Automatic,30 meters,41,13.1,20,White,Sapphire,Chronograph,46 hours,"7,600"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,Date,45 hours,"57,000"
Montblanc,1858 Geosphere,Titanium,Leather,Automatic,100 meters,42,12.8,22,Black,Sapphire,GMT,42 hours,"6,500"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11,22,Blue,Sapphire,Date,60 hours,"21,000"
Zenith,Chronomaster El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.45,20,Silver,Sapphire,Chronograph,50 hours,"6,000"
Rolex,Daytona,18k Yellow Gold,Leather,Automatic,100 meters,40,12.4,20,Champagne,Sapphire,Chronograph,72 hours,"29,500"
Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,50 meters,37,9.8,18,Blue,Sapphire,None,60 hours,"36,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,Date,45 hours,"51,000"
IWC,Portuguese,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22,White,Sapphire,Date,60 hours,"8,800"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"13,500"
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44,14.5,22,Black,Sapphire,Chronograph,72 hours,"19,500"
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,43,12.6,22,Blue,Sapphire,Date,60 hours,"7,000"
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38,7.45,20,Silver,Sapphire,None,65 hours,"23,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,25,Black,Sapphire,Date,46 hours,"9,500"
Piaget,Altiplano,18k White Gold,Leather,Manual,30 meters,40,6.36,20,Silver,Sapphire,None,43 hours,"18,500"
Vacheron Constantin,Patrimony,18k Rose Gold,Leather,Manual,30 meters,42,7.65,20,Silver,Sapphire,None,65 hours,"22,500"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,15.65,22,Black,Sapphire,"Date, GMT",72 hours,"7,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,Date,60 hours,"6,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"20,000"
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44,14.5,26,Black,Sapphire,Chronograph,72 hours,"12,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,Date,54 hours,"6,500"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42,11.43,22,Black,Sapphire,Chronograph,48 hours,"6,200"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Blue,Sapphire,Date,60 hours,"15,000"
Piaget,Altiplano,White Gold,Leather,Manual,30 meters,40,6.36,20,Silver,Sapphire,None,44 hours,"22,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,22,Black,Sapphire,Chronograph,50 hours,"5,500"
Breguet,Classique,White Gold,Leather,Automatic,30 meters,39,10.2,22,Silver,Sapphire,None,45 hours,"19,000"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,None,70 hours,"3,500"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36,12.5,20,Blue,Sapphire,"Date, Cyclops",70 hours,"7,400"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42,14.3,20,Black,Hesalite,Chronograph,48 hours,"5,000"
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20,Silver,Sapphire,Date,42 hours,"6,200"
TAG Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43,12.5,21,Black,Sapphire,Date,38 hours,"3,100"
