Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42,13.3,20,Blue,Sapphire,Date,38 hours,"4,100"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,13.05,24,Black,Sapphire,None,72 hours,"6,500"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,Date,70 hours,"3,800"
Zenith,Elite Classic,Stainless Steel,Leather,Automatic,50 meters,39,8.15,20,Silver,Sapphire,Date,50 hours,"4,900"
Longines,Conquest Classic,Stainless Steel,Leather,Automatic,50 meters,40,10.75,20,Silver,Sapphire,Date,54 hours,"1,850"
Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,42,11.4,22,White,Sapphire,"Date, Moonphase",42 hours,"3,900"
Baume & Mercier,Clifton Baumatic,Stainless Steel,Leather,Automatic,50 meters,40,10.3,20,Silver,Sapphire,Date,120 hours,"2,750"
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,41,11.8,20,Blue,Sapphire,Date,70 hours,"9,500"
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42,13.75,20,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"5,350"
Breitling,Superocean Heritage,Stainless Steel,Stainless Steel,Automatic,200 meters,44,14.2,22,Blue,Sapphire,Date,38 hours,"3,250"
Cartier,Santos-Dumont,18K Yellow Gold,Leather,Manual,30 meters,27.5,6.5,18,Silver,Sapphire,None,N/A,"14,200"
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39,14,22,Blue,Sapphire,Chronograph,40 hours,"4,950"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40,8.5,20,Silver,Sapphire,"Date, Moonphase",70 hours,"6,500"
Panerai,Luminor,Titanium,Rubber,Manual,300 meters,44,15.6,24,Black,Sapphire,None,72 hours,"8,500"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"27,000"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20,Silver,Sapphire,Chronograph,46 hours,"7,250"
Patek Philippe,Calatrava,18K White Gold,Leather,Manual,30 meters,38,8.25,20,White,Sapphire,None,44 hours,"25,000"
Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,100 meters,42,9.8,24,Black,Sapphire,None,40 hours,"3,800"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36,12.5,20,Silver,Sapphire,"Date, Cyclops Lens",70 hours,"8,000"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,"Chronograph, Tachymeter",48 hours,"4,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,Date,45 hours,"52,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"28,500"
IWC,Pilot's Watch Mark,Stainless Steel,Leather,Automatic,60 meters,41,12.5,20,Black,Sapphire,"Date, Chronograph",44 hours,"6,800"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42,14.1,24,Black,Sapphire,Chronograph,72 hours,"16,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,Black,Sapphire,Chronograph,50 hours,"6,500"
Breguet,Classique,18K White Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,None,40 hours,"19,000"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"13,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,25,Black,Sapphire,Date,46 hours,"8,000"
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43,12.48,23,Silver,Sapphire,None,68 hours,"10,000"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,"Date, GMT",70 hours,"9,700"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21,Blue,Sapphire,Date,45 hours,"29,800"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,Chronograph,48 hours,"5,350"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,Date,60 hours,"18,500"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,43,15,22,Black,Sapphire,Date,72 hours,"4,950"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,White,Sapphire,"Chronograph, Date",50 hours,"7,900"
Cartier,Santos-Dumont,Stainless Steel,Leather,Manual,30 meters,31.4,7.25,18,Silver,Sapphire,None,N/A,"4,500"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,"Chronograph, Date",72 hours,"16,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,Date,54 hours,"12,800"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40,8.78,20,Silver,Sapphire,"Date, Power Reserve Indicator",70 hours,"8,500"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,"Date, Power Reserve Indicator",42 hours,"8,500"
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44,13.05,24,Black,Sapphire,"Date, Sub Seconds",72 hours,"7,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,Date,45 hours,"39,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37,9.8,20,Blue,Sapphire,Date,40 hours,"19,500"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,"Date, Chronograph",72 hours,"13,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,White,Sapphire,"Date, Chronograph, Moon Phase",50 hours,"7,500"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Blue,Sapphire,"Date, World Time",60 hours,"23,000"
Breguet,Classique,18K White Gold,Leather,Manual,30 meters,40,6.95,20,Silver,Sapphire,None,50 hours,"24,000"
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,"Date, Power Reserve Indicator",120 hours,"11,000"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44,14.45,22,Black,Sapphire,"Date, Chronograph",42 hours,"6,000"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36,12,20,Silver,Sapphire,Date,70 hours,"7,500"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.7,20,Black,Sapphire,"Chronograph, Tachymeter",60 hours,"6,500"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43,13,21,Blue,Sapphire,Date,38 hours,"3,700"
Breitling,Superocean,Stainless Steel,Rubber,Automatic,200 meters,44,14.2,22,Black,Sapphire,Date,42 hours,"4,500"
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42,13,22,Silver,Sapphire,Date,42 hours,"7,500"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40,8.8,20,Silver,Sapphire,"Date, Power Reserve",70 hours,"6,000"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,Dual Time Zone,70 hours,"9,500"
Omega,Constellation,Stainless Steel,Stainless Steel,Automatic,100 meters,39,10.6,20,Black,Sapphire,Date,50 hours,"4,800"
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39,14.5,22,Blue,Sapphire,Chronograph,40 hours,"5,200"
Breitling,Chronomat,Stainless Steel,Stainless Steel,Automatic,200 meters,44,16.95,22,Blue,Sapphire,"Chronograph, Date",70 hours,"6,900"
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,35.1,8.83,18,Silver,Sapphire,Date,42 hours,"5,500"
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41,11.7,20,White,Sapphire,Date,70 hours,"8,000"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21,Blue,Sapphire,Date,45 hours,"40,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37,9,16,Blue,Sapphire,Date,60 hours,"18,000"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,22,White,Sapphire,Date,60 hours,"7,500"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,25,Black,Sapphire,Chronograph,72 hours,"14,000"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"14,000"
Breguet,Classique,Rose Gold,Leather,Manual,30 meters,40,6.8,20,Silver,Sapphire,None,55 hours,"25,000"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39,7.8,20,Silver,Sapphire,None,70 hours,"6,500"
Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42,12.75,20,Blue,Sapphire,Chronograph,50 hours,"7,000"
Bulgari,Octo Finissimo,Titanium,Titanium,Automatic,30 meters,40,5.15,28,Black,Sapphire,None,55 hours,"10,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,Date,54 hours,"9,000"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.1,20,Black,Sapphire,"GMT, Date",70 hours,"9,450"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21,Blue,Sapphire,Date,55 hours,"29,800"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,"Date, Chronograph",50 hours,"22,300"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42,10.6,22,Black,Sapphire,Date,42 hours,"8,100"
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40,10.8,20,Black,Sapphire,Date,42 hours,"3,900"
A. Lange & Söhne,Saxonia,Rose Gold,Leather,Manual,30 meters,38.5,7.8,18,Silver,Sapphire,None,72 hours,"23,300"
Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,Date,65 hours,"23,200"
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44,14.4,22,Black,Sapphire,"Date, Chronograph, Tachymeter",42 hours,"6,300"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.45,20,White,Sapphire,"Date, Chronograph",50 hours,"5,600"
Panerai,Luminor,Titanium,Leather,Manual,100 meters,44,13.05,24,Black,Sapphire,None,56 hours,"6,900"
Rolex,Daytona,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.4,20,White,Sapphire,Chronograph,72 hours,"13,500"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,Chronograph,48 hours,"4,500"
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,39.8,9.08,20,Silver,Sapphire,Date,42 hours,"6,600"
Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200 meters,42,14.35,20,Black,Sapphire,Date,38 hours,"4,400"
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41,12,20,Blue,Sapphire,Date,38 hours,"2,800"
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,40,7.45,20,Silver,Sapphire,None,43 hours,"6,300"
Patek Philippe,Calatrava,18k Rose Gold,Leather,Manual,30 meters,38,7.68,19,White,Sapphire,None,44 hours,"22,900"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,Date,60 hours,"22,500"
Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42,12.75,20,Blue,Sapphire,Chronograph,50 hours,"6,900"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,20,Black,Sapphire,"Date, World Time",60 hours,"20,200"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.6,20,Silver,Sapphire,None,44 hours,"7,600"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44,15.65,24,Black,Sapphire,Date,72 hours,"6,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21,Blue,Sapphire,Date,45 hours,"34,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,Date,60 hours,"22,000"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,White,Sapphire,Date,168 hours,"9,500"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,41,14.6,20,Black,Sapphire,Chronograph,42 hours,"14,000"
Breguet,Classique,18k Rose Gold,Leather,Manual,30 meters,39,10.2,22,Silver,Sapphire,None,40 hours,"26,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.5,20,Silver,Sapphire,Chronograph,50 hours,"7,000"
Blancpain,Fifty Fathoms,Stainless Steel,NATO strap,Automatic,300 meters,45,15.4,23,Black,Sapphire,None,120 hours,"10,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,Date,54 hours,"11,500"
Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100 meters,42.2,12.6,20,Blue,Sapphire,Date,60 hours,"7,500"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11,22,Silver,Sapphire,Date,60 hours,"20,000"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40,8.3,20,Blue,Sapphire,Date,45 hours,"26,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Grey,Sapphire,Date,60 hours,"17,000"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22,White,Sapphire,Chronograph,46 hours,"7,800"
A. Lange & Söhne,Saxonia,18k Rose Gold,Leather,Manual,30 meters,37,7.5,18,Silver,Sapphire,None,45 hours,"17,500"
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,42.5,13.7,22,Blue,Sapphire,Date,40 hours,"20,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41,10.88,26,Black,Sapphire,Chronograph,46 hours,"12,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42,12.75,22,Silver,Sapphire,Chronograph,50 hours,"7,500"
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"14,000"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,45,10.95,22,Blue,Sapphire,None,42 hours,"9,500"
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38,8.25,20,Silver,Sapphire,None,40 hours,"22,000"
Piaget,Polo,Stainless Steel,Stainless Steel,Automatic,100 meters,42,9.4,22,Blue,Sapphire,Date,44 hours,"10,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,Date,45 hours,"29,000"
Audemars Piguet,Royal Oak,Rose Gold,Leather,Automatic,50 meters,37,9.8,20,Black,Sapphire,Date,60 hours,"38,500"
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42,9.85,22,Blue,Sapphire,None,42 hours,"7,500"
Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,39,10.2,20,Silver,Sapphire,None,65 hours,"25,000"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41,15.3,20,Black,Sapphire,Date,42 hours,"5,900"
Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"12,000"
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38,12.45,20,Silver,Sapphire,Chronograph,50 hours,"6,200"
Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42,13.07,20,Black,Sapphire,Chronograph,48 hours,"6,800"
Vacheron Constantin,Patrimony,White Gold,Leather,Manual,30 meters,40,6.79,20,Silver,Sapphire,None,65 hours,"28,000"
Panerai,Luminor,Titanium,Leather,Automatic,300 meters,44,16.15,24,Black,Sapphire,None,72 hours,"9,500"
Tudor,Black Bay,Stainless Steel,NATO Strap,Automatic,200 meters,41,11.9,22,Black,Sapphire,None,70 hours,"3,500"
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,42,14.5,22,Black,Sapphire,Date,50 hours,"7,200"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,None,60 hours,"7,900"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40,8.3,22,Blue,Sapphire,Date,45 hours,"36,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"28,500"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,Date,120 hours,"15,000"
Breguet,Classique,18K Yellow Gold,Leather,Automatic,30 meters,39,10.2,20,Silver,Sapphire,Date,38 hours,"26,000"
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42,13.5,22,Blue,Sapphire,Chronograph,50 hours,"6,500"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,20,Blue,Sapphire,Date,54 hours,"12,000"
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,Chronograph,72 hours,"18,500"
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43,11.48,23,Black,Sapphire,None,68 hours,"9,500"
Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,39,9.9,19,Silver,Sapphire,Date,42 hours,"3,500"
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,"GMT, Date",70 hours,"9,900"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,Chronograph,48 hours,"4,300"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20,White,Sapphire,None,60 hours,"7,500"
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,Chronograph,72 hours,"15,500"
Panerai,Luminor Marina,Stainless Steel,Leather,Manual,300 meters,44,13.05,24,Black,Sapphire,None,56 hours,"5,200"
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,37,8.5,18,White,Sapphire,Date,45 hours,"25,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,Date,60 hours,"19,500"
Vacheron Constantin,Patrimony,Rose Gold,Leather,Automatic,30 meters,40,6.79,20,White,Sapphire,None,40 hours,"15,000"
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45,15.4,23,Black,Sapphire,None,120 hours,"14,000"
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,25,Blue,Sapphire,None,54 hours,"7,500"
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43,11.48,22,White,Sapphire,None,68 hours,"8,500"
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36,12,20,Blue,Sapphire,Date,70 hours,"7,650"
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,Chronograph,48 hours,"5,200"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,"Date, Chronograph",55 hours,"67,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,"Date, Power Reserve",60 hours,"25,000"
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,36.6,12.05,18,Silver,Sapphire,Date,42 hours,"4,700"
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22,Blue,Sapphire,None,60 hours,"9,100"
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39,8.5,20,Silver,Sapphire,"Date, Moonphase",70 hours,"8,200"
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"12,500"
Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,39,9.9,22,White,Sapphire,"Date, Moonphase",65 hours,"27,900"
Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42,12.67,20,Black,Sapphire,"Chronograph, Date",42 hours,"6,500"
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,44.3,13.1,22,Black,Hardlex,"Date, GMT",50 hours,"1,200"
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41,14.75,22,Black,Sapphire,None,70 hours,"3,800"
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,39,10.86,20,Black,Sapphire,Date,42 hours,"4,500"
Panerai,Luminor Marina,Titanium,Rubber,Automatic,300 meters,44,15.65,24,Black,Sapphire,None,72 hours,"9,500"
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,Date,45 hours,"35,000"
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,Date,60 hours,"24,000"
Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,38.5,8.25,20,White,Sapphire,Date,38 hours,"21,500"
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,Date,120 hours,"13,500"
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20,Blue,Sapphire,Date,64 hours,"1,800"
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11,22,Blue,Sapphire,Date,40 hours,"19,000"
Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50 meters,40,10.6,20,Silver,Sapphire,Date,38 hours,"1,200"
